seed,hallucination_rate,controller,final_vhat,final_vtrue,viol_rate,conv_steps,pearson_r,spearman_r
53,0.0,adaptive,0.0,0.010297900001162534,0.42242242242242245,12,0.9368926940953998,0.05747135172481177
54,0.0,no_damping,9.992007221626409e-16,250576506049.70734,0.014014014014014014,1000,-0.39484668162913816,-0.8356315751645214
54,0.0,cosine,0.0003053823250304977,0.009048598727822231,0.23823823823823823,529,0.09582115363083717,-0.03657743382219844
54,0.0,grad_clip,0.0011875623075046863,0.20685377268522098,0.4854854854854855,8,-0.0030966099578791043,0.7155649647908149
54,0.0,adaptive,0.0014125231272461584,0.02526463940746798,0.4174174174174174,27,0.9183496188340712,0.0991518006796973
55,0.0,no_damping,9.992007221626409e-16,231298069827.5568,0.013013013013013013,1000,-0.40908412001712546,-0.8344301683404836
55,0.0,cosine,0.00030015146410244936,0.00973573438488784,0.23323323323323322,530,0.04885260467675194,-0.0259671849654062
55,0.0,grad_clip,0.0,0.1410991925259677,0.46046046046046046,11,-0.034683477419874896,0.6874879961128043
55,0.0,adaptive,0.0008701547848673409,0.011949092537609316,0.4124124124124124,30,0.887983515458836,0.022669220581928943
56,0.0,no_damping,9.992007221626409e-16,381062066890.4294,0.015015015015015015,1000,-0.391183940727834,0.6604375369558914
56,0.0,cosine,0.00022878706248054314,0.016370735472500085,0.23823823823823823,531,0.00985659020507281,0.0078023733013084275
56,0.0,grad_clip,0.03392845686419662,0.16043438431615542,0.4944944944944945,7,0.007703663291860155,0.7007548532891715
56,0.0,adaptive,0.0001685448354962237,0.019979672288863423,0.4134134134134134,21,0.9283983292105116,0.05072406653496285
57,0.0,no_damping,9.992007221626409e-16,437790680649.6394,0.01701701701701702,1000,-0.38252081628868023,0.6526396326816378
57,0.0,cosine,0.0002768568608106038,0.01685339061527776,0.24224224224224225,529,0.09136964972506977,-0.02175312973198985
57,0.0,grad_clip,0.034057598900742926,0.2442171774915554,0.4644644644644645,6,0.018774915530090877,0.723232230949103
57,0.0,adaptive,0.016048380302403242,0.10028265867771069,0.42742742742742745,13,0.9182325306938196,0.06880219454514838
58,0.0,no_damping,9.992007221626409e-16,480878129027.6524,0.014014014014014014,1000,-0.41571844535770286,-0.8349967970701389
58,0.0,cosine,0.0002889598223093262,0.011117805119067004,0.22722722722722724,531,0.04519302191625502,0.02643919001305732
58,0.0,grad_clip,0.023263101215024402,0.15684974073227723,0.44744744744744747,8,-0.008572158630383906,0.688745761737214
58,0.0,adaptive,0.0003195702574822968,0.009711424051041818,0.43243243243243246,19,0.920434918626061,0.08260474559512163
59,0.0,no_damping,9.992007221626409e-16,264739322969.43417,0.013013013013013013,1000,-0.40384167621420053,0.668781119688671
59,0.0,cosine,0.0002595320675753279,0.004236388074459846,0.23123123123123124,531,0.09886740294595384,0.11171523876889873
59,0.0,grad_clip,0.0,0.11180881901008195,0.4794794794794795,9,-0.017329303188662895,0.6826676543489951
59,0.0,adaptive,0.0,0.012072525546735264,0.4174174174174174,27,0.9226724231824166,0.029945239008883046
60,0.0,no_damping,9.992007221626409e-16,268222740807.26736,0.013013013013013013,1000,-0.41238143624920565,-0.841332165063193
60,0.0,cosine,0.00027246741701122035,0.007290135731301835,0.24324324324324326,529,0.08646951642272444,-0.04272781619924341
60,0.0,grad_clip,0.0,0.05783274654662221,0.47147147147147145,8,0.004421392786088523,0.7044005188660898
60,0.0,adaptive,0.00028652874477843503,0.057619906242535095,0.42042042042042044,28,0.9329619762506632,0.025683724870138792
61,0.0,no_damping,9.992007221626409e-16,472189327892.3822,0.013013013013013013,1000,-0.4315471595572844,-0.8406794043097212
61,0.0,cosine,0.000272311935895935,0.00592601306193064,0.23223223223223224,530,0.0007769352307636142,-0.04645568284091022
61,0.0,grad_clip,0.0190686425442576,0.1756688276484258,0.46546546546546547,8,-0.00674471605814877,0.670461970019994
61,0.0,adaptive,0.0,0.09647840051490582,0.4214214214214214,26,0.928162025531015,0.09578871783733545
42,0.1,no_damping,9.992007221626409e-16,259131081952.30545,0.012012012012012012,1000,-0.420305144187524,0.6716960663461597
42,0.1,cosine,0.0005939897095453839,0.026264931240737296,0.1981981981981982,533,0.06225822126905049,0.14565981785225302
42,0.1,grad_clip,0.0,0.06648565026367463,0.4974974974974975,8,0.070857375427752,0.7294605715571616
42,0.1,adaptive,0.0,0.3567213883586704,0.3033033033033033,22,0.822593298419445,0.21649320196301094
43,0.1,no_damping,9.992007221626409e-16,293595384318.185,0.012012012012012012,1000,-0.42326606661399513,0.6714513218163802
43,0.1,cosine,0.00015249541118513655,0.028287117685780728,0.1941941941941942,530,0.09315994872756597,0.2121686668170429
43,0.1,grad_clip,0.0015641819185509707,0.1740774326149472,0.5025025025025025,7,0.11072159016485848,0.7284465180750648
43,0.1,adaptive,0.0,0.20979109937805226,0.3063063063063063,19,0.8836725986314438,0.24309078750394544
44,0.1,no_damping,9.992007221626409e-16,431695123769.721,0.015015015015015015,1000,-0.41088014950118895,0.657716749181877
44,0.1,cosine,8.862912681033364e-05,0.18884120577559876,0.19019019019019018,530,0.011015343585732239,0.1269994234099802
44,0.1,grad_clip,0.0,0.1335249370675673,0.5055055055055055,9,0.14811114131155134,0.7257666296146728
44,0.1,adaptive,0.07491179679399938,1.6597991266026604,0.30430430430430433,20,0.8273466432678966,0.2577097798839858
45,0.1,no_damping,9.992007221626409e-16,234040483031.05023,0.016016016016016016,1000,-0.36567302025853543,-0.824212699731052
45,0.1,cosine,0.00025224926193330655,0.006653811606267334,0.2042042042042042,530,0.12426460200449035,0.09240508005719068
45,0.1,grad_clip,0.0,0.10383608413407995,0.4974974974974975,4,0.49048895489648553,0.7237638526078799
45,0.1,adaptive,0.0,0.6903011086836891,0.3203203203203203,8,0.8467946528824799,0.23525932755051485
46,0.1,no_damping,9.992007221626409e-16,378779876719.03864,0.014014014014014014,1000,-0.41399408591034526,0.661825318216218
46,0.1,cosine,0.0002831375930726929,0.0882359768517318,0.2082082082082082,532,0.13678156912874462,0.3857990513354327
46,0.1,grad_clip,0.1346169449237201,0.21043464421772573,0.4894894894894895,6,0.1853745641867673,0.7209820082554519
46,0.1,adaptive,0.0,0.5897013999026368,0.2992992992992993,14,0.8287043715123589,0.2652575786191155
47,0.1,no_damping,9.992007221626409e-16,320196801668.59607,0.013013013013013013,1000,-0.4169853947680974,-0.8405899563092644
47,0.1,cosine,0.0007546864294861248,0.06517814013005364,0.2082082082082082,528,0.1208946027853454,0.029277406728482728
47,0.1,grad_clip,0.5452305128185733,0.40038242129280555,0.4874874874874875,10,0.04749835817455803,0.7038318075162334
47,0.1,adaptive,1959.6139465649626,21.955621727630234,0.3183183183183183,31,0.839066707216342,0.08366273775652132
48,0.1,no_damping,9.992007221626409e-16,231621839301.2745,0.016016016016016016,1000,-0.3857104367883527,-0.8361548056774173
48,0.1,cosine,0.00016169449431681514,0.021388176596563505,0.21021021021021022,531,0.0767552330149325,0.05198421662481873
48,0.1,grad_clip,0.04253080419750996,0.1665356893250274,0.4874874874874875,6,0.14997138072143298,0.719781721256039
