final_energy,mean_energy,max_energy,oscillation_count,oscillation_index,regression_count,c1_alerts,c2_rejections,final_energy_std,mean_energy_std,max_energy_std,oscillation_count_std,oscillation_index_std,regression_count_std,c1_alerts_std,c2_rejections_std,h_rate,lr,drift_freq,drift_label,ablation,n_seeds
224639.7730711176,21099.149119492584,224639.88331175278,488.2,0.8136666666666665,413.8,0.0,0.0,111072.2645306,10288.820392631527,111072.29403246315,20.658170296519486,0.034430283827532486,25.93376177880872,0.0,0.0,0.1,0.01,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,230.5,0.38416666666666666,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,7.433034373659253,0.012388390622765422,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.01,0,stationary,full,10
2.814028612563823e+23,5.588704135995495e+21,2.814028612563823e+23,561.7,0.9361666666666666,554.2,0.0,0.0,1.7497883738450165e+23,3.6255427758682166e+21,1.7497883738450165e+23,5.254521862167861,0.008757536436946423,5.758472019555188,0.0,0.0,0.1,0.05,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,230.5,0.38416666666666666,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,7.433034373659253,0.012388390622765422,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.05,0,stationary,full,10
1.4586038142347143e+45,1.6015876405872577e+43,1.4586038142347143e+45,557.6,0.9293333333333335,554.9,0.0,0.0,1.2683049359458075e+45,1.5129352129068102e+43,1.2683049359458075e+45,2.939387691339814,0.004898979485566364,3.144837038703278,0.0,0.0,0.1,0.1,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,230.5,0.38416666666666666,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,7.433034373659253,0.012388390622765422,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.1,0,stationary,full,10
8.648375837687838e+85,5.85300397845709e+83,8.648375837687838e+85,547.4,0.9123333333333334,546.9,0.0,0.0,1.2434947864205104e+86,8.932217605335047e+83,1.2434947864205104e+86,3.4985711369071804,0.005830951894845305,3.6999999999999997,0.0,0.0,0.1,0.2,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,230.5,0.38416666666666666,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,7.433034373659253,0.012388390622765422,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.2,0,stationary,full,10
3.778510663401999e+123,2.0097613755016222e+121,3.778510663401999e+123,542.8,0.9046666666666667,542.6,0.0,0.0,6.880283675526206e+123,3.7196727772345015e+121,6.880283675526206e+123,5.2687759489277965,0.008781293248213,5.180733538795447,0.0,0.0,0.1,0.3,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,230.5,0.38416666666666666,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,7.433034373659253,0.012388390622765422,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.3,0,stationary,full,10
9.122499447442412e+190,3.588270667495864e+188,9.122499447442412e+190,539.8,0.8996666666666666,539.7,0.0,0.0,inf,inf,inf,5.929586832149438,0.009882644720249063,6.181423784210237,0.0,0.0,0.1,0.5,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,230.5,0.38416666666666666,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,7.433034373659253,0.012388390622765422,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.5,0,stationary,full,10
7.7524061726548e+249,2.5204522769415655e+247,7.7524061726548e+249,538.2,0.8969999999999999,538.2,0.0,0.0,inf,inf,inf,5.4,0.008999999999999985,5.4,0.0,0.0,0.1,0.7,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,230.5,0.38416666666666666,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,7.433034373659253,0.012388390622765422,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.7,0,stationary,full,10
inf,inf,inf,513.3,0.8554999999999999,513.3,0.0,0.0,,,,1.676305461424021,0.002793842435706689,1.676305461424021,0.0,0.0,0.1,1.0,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,230.5,0.38416666666666666,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,7.433034373659253,0.012388390622765422,7.912648102879339,30.196688560171626,9.276313923105448,0.1,1.0,0,stationary,full,10
76234.51032348734,7832.2450167220695,76234.58636872095,452.4,0.7539999999999999,367.7,0.0,0.0,42401.039242470746,4291.658353993872,42400.94717215884,16.70449041425688,0.027840817357094802,27.19577173017894,0.0,0.0,0.2,0.01,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,230.8,0.38466666666666666,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,9.206519429187123,0.015344199048645202,6.6,31.274430450449454,7.244998274671982,0.2,0.01,0,stationary,full,10
1.7916470443978803e+21,3.9426830474231505e+19,1.7916470443983865e+21,532.0,0.8866666666666667,521.5,0.0,0.0,1.5555624252291062e+21,3.3348934462178005e+19,1.5555624252286797e+21,7.0285133563222315,0.011714188927203729,9.604686356149273,0.0,0.0,0.2,0.05,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,230.8,0.38466666666666666,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,9.206519429187123,0.015344199048645202,6.6,31.274430450449454,7.244998274671982,0.2,0.05,0,stationary,full,10
1.0221691626436633e+41,1.2332398767533338e+39,1.0221691626436633e+41,524.3,0.8738333333333334,520.9,0.0,0.0,1.3745125619580806e+41,1.7118411376906132e+39,1.3745125619580806e+41,7.772387020729217,0.01295397836788205,8.154140052758475,0.0,0.0,0.2,0.1,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,230.8,0.38466666666666666,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,9.206519429187123,0.015344199048645202,6.6,31.274430450449454,7.244998274671982,0.2,0.1,0,stationary,full,10
1.5782060627169264e+78,1.104813001545801e+76,1.5782060627169264e+78,505.2,0.842,504.8,0.0,0.0,3.4198445187161767e+78,2.4691406279281737e+76,3.4198445187161767e+78,7.959899496852959,0.0132664991614216,8.170679286326198,0.0,0.0,0.2,0.2,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,230.8,0.38466666666666666,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,9.206519429187123,0.015344199048645202,6.6,31.274430450449454,7.244998274671982,0.2,0.2,0,stationary,full,10
3.115382974479199e+112,1.633158382560283e+110,3.115382974479199e+112,496.7,0.8278333333333332,496.5,0.0,0.0,8.103935272929848e+112,4.318183108712009e+110,8.103935272929848e+112,10.188719252192593,0.016981198753654333,10.200490184299968,0.0,0.0,0.2,0.3,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,230.8,0.38466666666666666,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,9.206519429187123,0.015344199048645202,6.6,31.274430450449454,7.244998274671982,0.2,0.3,0,stationary,full,10
6.680959703268515e+173,2.5286668556895636e+171,6.680959703268515e+173,490.3,0.8171666666666667,490.2,0.0,0.0,inf,inf,inf,10.517128885774861,0.01752854814295811,10.524257693538296,0.0,0.0,0.2,0.5,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,230.8,0.38466666666666666,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,9.206519429187123,0.015344199048645202,6.6,31.274430450449454,7.244998274671982,0.2,0.5,0,stationary,full,10
2.765266048541821e+227,8.678960023412048e+224,2.765266048541821e+227,487.7,0.8128333333333334,487.7,0.0,0.0,inf,inf,inf,10.440785411069418,0.017401309018449027,10.440785411069418,0.0,0.0,0.2,0.7,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,230.8,0.38466666666666666,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,9.206519429187123,0.015344199048645202,6.6,31.274430450449454,7.244998274671982,0.2,0.7,0,stationary,full,10
1.0460273214947503e+297,2.7632626069235833e+294,1.0460273214947503e+297,486.5,0.8108333333333333,486.5,0.0,0.0,inf,inf,inf,10.781929326423912,0.01796988221070652,10.781929326423912,0.0,0.0,0.2,1.0,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,230.8,0.38466666666666666,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,9.206519429187123,0.015344199048645202,6.6,31.274430450449454,7.244998274671982,0.2,1.0,0,stationary,full,10
27575.435941765405,3380.6942521019737,27578.387090189084,426.5,0.7108333333333333,330.9,0.0,0.0,12244.319547306795,1568.860309550274,12249.139826037677,18.424168909342967,0.030706948182238278,24.10995644956664,0.0,0.0,0.3,0.01,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,227.6,0.37933333333333336,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,8.224354077980836,0.013707256796634728,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.01,0,stationary,full,10
8.045821619356148e+18,2.2218012340825773e+17,8.045821619481352e+18,507.4,0.8456666666666667,497.4,0.0,0.0,6.025927874929717e+18,1.7189381700325322e+17,6.025927875102818e+18,8.248636250920512,0.01374772708486752,8.788629017087931,0.0,0.0,0.3,0.05,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,227.6,0.37933333333333336,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,8.224354077980836,0.013707256796634728,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.05,0,stationary,full,10
2.3366712142517022e+36,3.4933848315872297e+34,2.3366712142517022e+36,502.4,0.8373333333333333,498.7,0.0,0.0,3.661410380169574e+36,5.423272228768315e+34,3.661410380169574e+36,6.232174580353153,0.010386957633921919,6.664082832618455,0.0,0.0,0.3,0.1,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,227.6,0.37933333333333336,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,8.224354077980836,0.013707256796634728,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.1,0,stationary,full,10
2.1666106460933635e+69,1.8144650239163192e+67,2.1666106460933635e+69,468.8,0.7813333333333332,468.5,0.0,0.0,5.26483373685707e+69,4.3598808132536295e+67,5.26483373685707e+69,5.758472019555188,0.009597453365925318,6.053924347066125,0.0,0.0,0.3,0.2,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,227.6,0.37933333333333336,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,8.224354077980836,0.013707256796634728,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.2,0,stationary,full,10
5.217093621017674e+99,3.3249469335008492e+97,5.217093621017674e+99,455.7,0.7595,455.5,0.0,0.0,1.3831758230518166e+100,8.759434761110762e+97,1.3831758230518166e+100,6.245798587850877,0.010409664313084786,6.053924347066125,0.0,0.0,0.3,0.3,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,227.6,0.37933333333333336,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,8.224354077980836,0.013707256796634728,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.3,0,stationary,full,10
9.494797135356259e+153,4.645962796123824e+151,9.494797135356259e+153,446.0,0.7433333333333334,445.9,0.0,0.0,inf,1.2954797017485327e+152,inf,5.585696017507576,0.009309493362512649,5.629387178015028,0.0,0.0,0.3,0.5,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,227.6,0.37933333333333336,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,8.224354077980836,0.013707256796634728,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.5,0,stationary,full,10
