seed,mode,E_thresh,RV_thresh,n_accepted,n_rejected,retention_rate,fragile_rate,reliable_frac,recall,f1,fragile_rej,accepted_fragile
42,E+RV,3.0,0.2,163,337,0.326,0.06,0.8650306748466258,0.5778688524590164,0.6928746928746929,0.85,9
42,E+RV,3.0,0.3,171,329,0.342,0.07096774193548387,0.8421052631578947,0.5901639344262295,0.6939759036144578,0.8166666666666667,11
42,E+RV,3.0,0.5,176,324,0.352,0.08280254777070063,0.8181818181818182,0.5901639344262295,0.6857142857142857,0.7833333333333333,13
42,E+RV,4.0,0.01,19,481,0.038,0.0,1.0,0.0778688524590164,0.14448669201520914,1.0,0
42,E+RV,4.0,0.05,44,456,0.088,0.0,0.9545454545454546,0.1721311475409836,0.29166666666666663,1.0,0
42,E+RV,4.0,0.1,58,442,0.116,0.0,0.9310344827586207,0.22131147540983606,0.3576158940397351,1.0,0
42,E+RV,4.0,0.15,75,425,0.15,0.029411764705882353,0.88,0.27049180327868855,0.41379310344827586,0.9666666666666667,2
42,E+RV,4.0,0.2,78,422,0.156,0.04225352112676056,0.8717948717948718,0.2786885245901639,0.4223602484472049,0.95,3
42,E+RV,4.0,0.3,82,418,0.164,0.05333333333333334,0.8658536585365854,0.29098360655737704,0.4355828220858895,0.9333333333333333,4
42,E+RV,4.0,0.5,82,418,0.164,0.05333333333333334,0.8658536585365854,0.29098360655737704,0.4355828220858895,0.9333333333333333,4
42,E+RV,5.0,0.01,9,491,0.018,0.0,1.0,0.036885245901639344,0.07114624505928854,1.0,0
42,E+RV,5.0,0.05,22,478,0.044,0.0,0.9545454545454546,0.0860655737704918,0.15789473684210525,1.0,0
42,E+RV,5.0,0.1,26,474,0.052,0.0,0.9615384615384616,0.10245901639344263,0.1851851851851852,1.0,0
42,E+RV,5.0,0.15,40,460,0.08,0.027777777777777776,0.875,0.14344262295081966,0.2464788732394366,0.9833333333333333,1
42,E+RV,5.0,0.2,41,459,0.082,0.02702702702702703,0.8780487804878049,0.14754098360655737,0.2526315789473684,0.9833333333333333,1
42,E+RV,5.0,0.3,42,458,0.084,0.02631578947368421,0.8809523809523809,0.15163934426229508,0.2587412587412588,0.9833333333333333,1
42,E+RV,5.0,0.5,42,458,0.084,0.02631578947368421,0.8809523809523809,0.15163934426229508,0.2587412587412588,0.9833333333333333,1
43,none,0.0,0.0,500,0,1.0,0.19934640522875818,0.49,1.0,0.6577181208053691,0.0,61
43,E_only,1.0,0.0,429,71,0.858,0.19536423841059603,0.5664335664335665,0.9918367346938776,0.7210682492581603,0.032786885245901676,59
43,E_only,1.5,0.0,370,130,0.74,0.17543859649122806,0.6351351351351351,0.9591836734693877,0.7642276422764227,0.180327868852459,50
43,E_only,2.0,0.0,308,192,0.616,0.16015625,0.698051948051948,0.8775510204081632,0.7775768535262206,0.3278688524590164,41
43,E_only,2.5,0.0,247,253,0.494,0.13023255813953488,0.757085020242915,0.763265306122449,0.7601626016260163,0.540983606557377,28
43,E_only,3.0,0.0,194,306,0.388,0.11731843575418995,0.8144329896907216,0.6448979591836734,0.7198177676537585,0.6557377049180328,21
43,E_only,4.0,0.0,106,394,0.212,0.08080808080808081,0.8584905660377359,0.37142857142857144,0.5185185185185185,0.8688524590163934,8
43,E_only,5.0,0.0,51,449,0.102,0.08163265306122448,0.8823529411764706,0.1836734693877551,0.3040540540540541,0.9344262295081968,4
43,RV_only,0.0,0.01,83,417,0.166,0.08333333333333333,0.6626506024096386,0.22448979591836735,0.3353658536585366,0.9180327868852459,5
43,RV_only,0.0,0.05,207,293,0.414,0.07947019867549669,0.6714975845410628,0.5673469387755102,0.6150442477876106,0.8032786885245902,12
43,RV_only,0.0,0.1,315,185,0.63,0.0881057268722467,0.6571428571428571,0.8448979591836735,0.7392857142857143,0.6721311475409837,20
43,RV_only,0.0,0.15,375,125,0.75,0.11673151750972763,0.6053333333333333,0.926530612244898,0.732258064516129,0.5081967213114754,30
43,RV_only,0.0,0.2,418,82,0.836,0.1407942238267148,0.569377990430622,0.9714285714285714,0.717948717948718,0.360655737704918,39
43,RV_only,0.0,0.3,461,39,0.922,0.16382252559726962,0.5314533622559653,1.0,0.6940509915014165,0.21311475409836067,48
43,RV_only,0.0,0.5,490,10,0.98,0.18874172185430463,0.5,1.0,0.6666666666666666,0.06557377049180324,57
43,E+RV,1.0,0.01,74,426,0.148,0.0847457627118644,0.7297297297297297,0.22040816326530613,0.3385579937304075,0.9180327868852459,5
43,E+RV,1.0,0.05,187,313,0.374,0.08053691275167785,0.732620320855615,0.5591836734693878,0.6342592592592593,0.8032786885245902,12
