seed,severity,detector,delay,pre_fpr,arl0
64,moderate,adwin,700,0.0,300
65,moderate,entropy_weighted,700,0.03333333333333333,0
65,moderate,uniform,700,0.03333333333333333,0
65,moderate,adwin,700,0.0,300
66,moderate,entropy_weighted,700,0.03333333333333333,0
66,moderate,uniform,700,0.03333333333333333,0
66,moderate,adwin,700,0.0,300
67,moderate,entropy_weighted,301,0.03333333333333333,0
67,moderate,uniform,700,0.03333333333333333,0
67,moderate,adwin,700,0.0,300
68,moderate,entropy_weighted,649,0.03333333333333333,0
68,moderate,uniform,700,0.03333333333333333,0
68,moderate,adwin,700,0.0,300
69,moderate,entropy_weighted,700,0.03333333333333333,0
69,moderate,uniform,700,0.03333333333333333,0
69,moderate,adwin,700,0.0,300
70,moderate,entropy_weighted,700,0.03333333333333333,0
70,moderate,uniform,700,0.03333333333333333,0
70,moderate,adwin,700,0.0,300
71,moderate,entropy_weighted,700,0.03333333333333333,0
71,moderate,uniform,700,0.03333333333333333,0
71,moderate,adwin,700,0.0,300
72,moderate,entropy_weighted,431,0.03333333333333333,0
72,moderate,uniform,438,0.03333333333333333,0
72,moderate,adwin,700,0.0,300
73,moderate,entropy_weighted,49,0.03333333333333333,0
73,moderate,uniform,57,0.03333333333333333,0
73,moderate,adwin,662,0.0,300
74,moderate,entropy_weighted,700,0.03333333333333333,0
74,moderate,uniform,700,0.03333333333333333,0
74,moderate,adwin,700,0.0,300
75,moderate,entropy_weighted,700,0.03333333333333333,0
75,moderate,uniform,700,0.03333333333333333,0
75,moderate,adwin,700,0.0,300
76,moderate,entropy_weighted,700,0.03333333333333333,0
76,moderate,uniform,700,0.03333333333333333,0
76,moderate,adwin,700,0.0,300
77,moderate,entropy_weighted,700,0.03333333333333333,0
77,moderate,uniform,700,0.03333333333333333,0
77,moderate,adwin,700,0.0,300
78,moderate,entropy_weighted,700,0.03333333333333333,0
78,moderate,uniform,700,0.03333333333333333,0
78,moderate,adwin,700,0.0,300
79,moderate,entropy_weighted,700,0.03333333333333333,0
79,moderate,uniform,700,0.03333333333333333,0
79,moderate,adwin,700,0.0,300
80,moderate,entropy_weighted,700,0.03333333333333333,0
80,moderate,uniform,700,0.03333333333333333,0
80,moderate,adwin,700,0.0,300
81,moderate,entropy_weighted,700,0.03333333333333333,0
81,moderate,uniform,700,0.03333333333333333,0
81,moderate,adwin,700,0.0,300
42,severe,entropy_weighted,700,0.03333333333333333,0
42,severe,uniform,700,0.03333333333333333,0
42,severe,adwin,700,0.0,300
43,severe,entropy_weighted,700,0.03333333333333333,0
43,severe,uniform,700,0.03333333333333333,0
43,severe,adwin,700,0.0,300
44,severe,entropy_weighted,700,0.03333333333333333,0
44,severe,uniform,700,0.03333333333333333,0
44,severe,adwin,700,0.0,300
45,severe,entropy_weighted,700,0.03333333333333333,0
45,severe,uniform,700,0.03333333333333333,0
